date,vehicle,weight
2016-07-04,13,6.8
2016-07-04,24,6.08
2016-07-04,14,6.7
2016-07-05,24,2.8
2016-07-05,13,9.5
2016-07-05,14,10.71
2016-07-06,14,7.2
2016-07-06,24,6.04
2016-07-06,13,10.75
2016-07-07,13,10.9
2016-07-07,14,14.32
2016-07-08,24,7
2016-07-08,13,6.85
2016-07-08,14,11.15
2016-07-11,14,13.12
2016-07-11,13,14.1
2016-07-11,15,9.25
2016-07-12,13,14.2
2016-07-12,15,13.4
2016-07-12,14,15.68
2016-07-13,13,0.7
2016-07-13,15,6.85
2016-07-13,14,7.6
2016-07-14,14,10.5
2016-07-14,15,9.2
2016-07-14,13,10.1
2016-07-15,15,11.15
2016-07-15,14,12.6
2016-07-15,13,10.85
2016-07-18,15,6.8
2016-07-18,13,8.9
2016-07-18,14,8.5
2016-07-19,13,7.3
2016-07-19,15,9.6
2016-07-19,14,12.4
2016-07-20,13,4.25
2016-07-20,15,14
2016-07-20,14,9.91
2016-07-21,15,7.7
2016-07-21,13,11
2016-07-21,14,11.96
2016-07-22,14,11.46
2016-07-22,15,9.7
2016-07-22,13,8
2016-07-25,14,11.62
2016-07-25,13,9.45
2016-07-25,15,9.15
2016-07-26,13,9.85
2016-07-26,15,7.35
2016-07-26,14,11.58
2016-07-27,13,4.25
2016-07-27,14,6.24
2016-07-27,15,4.75
2016-07-28,13,6.95
2016-07-28,15,8.05
2016-07-28,14,10.16
2016-07-29,13,3.75
2016-07-29,15,10.25
2016-07-29,14,11.28
2016-08-01,15,5.15
2016-08-01,14,8.3
2016-08-01,13,8.9
2016-08-02,15,6.42
2016-08-02,15,8.55
2016-08-02,13,6.7
2016-08-02,14,9.8
2016-08-03,15,9.2
2016-08-03,14,5.48
2016-08-03,13,5
2016-08-04,15,5.75
2016-08-04,14,6.08
2016-08-04,13,7.2
2016-08-05,15,8.45
2016-08-05,14,5.5
2016-08-05,13,11
2016-08-08,15,13.7
2016-08-08,14,15.62
2016-08-08,13,14.2
2016-08-09,15,16
2016-08-09,13,18.1
2016-08-09,14,10.33
2016-08-10,15,9.25
2016-08-10,14,7.2
2016-08-10,13,7.5
2016-08-11,15,7.95
2016-08-11,14,13.49
2016-08-11,13,9
2016-08-12,1,1.7
2016-08-12,15,3.3
2016-08-12,2,1.245
2016-08-12,16,1.55
2016-08-12,13,6.1
2016-08-12,8,4.3
2016-08-12,,1.28
2016-08-12,14,12.38
2016-08-15,14,15.92
2016-08-15,15,10.15
2016-08-15,13,7
2016-08-16,14,14.23
2016-08-16,15,11.6
2016-08-16,13,6.2
2016-08-17,15,16.9
2016-08-17,14,10.96
2016-08-17,13,5
2016-08-18,13,7.5
2016-08-18,15,8.95
2016-08-18,14,9.9
2016-08-19,13,13.5
2016-08-19,14,5.34
2016-08-19,15,15.8
2016-08-22,15,8.85
2016-08-22,13,11.35
2016-08-22,14,12.06
2016-08-22,21,0.28
2016-08-23,13,13.55
2016-08-23,15,9.25
2016-08-23,14,11.4
2016-08-24,14,5.66
2016-08-24,15,8.35
2016-08-24,13,7.4
2016-08-25,14,6.38
2016-08-25,15,11.05
2016-08-25,13,11
2016-08-26,15,10.75
2016-08-26,14,10.88
2016-08-26,13,8.5
2016-08-29,15,12
2016-08-29,14,10.86
2016-08-29,13,12.3
2016-08-30,15,11.65
2016-08-30,13,5.5
2016-08-30,14,16.55
2016-08-31,13,2.25
2016-08-31,14,16.1
2016-08-31,15,7.75
2016-09-01,13,11.8
2016-09-01,21,7.2
2016-09-01,14,13
2016-09-02,14,13.65
2016-09-02,21,11.4
2016-09-02,13,10.15
2016-09-05,15,14.5
2016-09-05,14,18.2
2016-09-05,13,19.05
2016-09-06,14,20.82
2016-09-06,15,13.7
2016-09-06,13,21.85
2016-09-07,15,8.45
2016-09-07,13,13.75
2016-09-07,14,10.1
2016-09-08,15,15.2
2016-09-08,13,11
2016-09-08,14,16.7
2016-09-09,8,3.6
2016-09-09,13,11.2
2016-09-09,14,16.5
2016-09-09,15,18.7
2016-09-12,14,12.84
2016-09-12,13,16.25
2016-09-12,15,19.35
2016-09-13,13,12.75
2016-09-13,14,10.06
2016-09-13,15,11.45
2016-09-14,13,10.65
2016-09-14,14,7.56
2016-09-14,15,17.45
2016-09-15,15,13.6
2016-09-15,13,11.2
2016-09-15,14,10.56
2016-09-16,14,13.33
2016-09-16,15,15.7
2016-09-16,13,5.55
2016-09-19,13,17.45
2016-09-19,15,15.65
2016-09-19,14,18.84
2016-09-20,14,22.24
2016-09-20,15,14.1
2016-09-20,13,21.25
2016-09-21,15,10.6
2016-09-21,14,9.3
2016-09-21,13,11.3
2016-09-22,14,11.32
2016-09-22,15,18.1
2016-09-22,13,15.1
2016-09-23,14,18.78
2016-09-23,13,10.5
2016-09-23,15,17.5
2016-09-24,14,21.24
2016-09-26,15,17.8
2016-09-26,14,16.73
2016-09-26,13,20.2
2016-09-27,15,15.9
2016-09-27,13,10.75
2016-09-28,14,18.87
2016-09-28,13,13.18
2016-09-28,15,22.35
2016-09-29,13,18.05
